date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:59	59515/59515	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2005:39:32%20GMT	https://marketifythemes.net/tailwind/elisc/index.html	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/index.html	(from )
14:15:00	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
14:15:00	212976/212976	---MCZ	200	added ('OK')	text/css	etag:W/%22477a8-64a7a519-1570448e9daf71cf;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/plugins.css	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/css/plugins.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:01	22857/22857	---M-Z	200	added ('OK')	text/css	etag:%225949-64a7a518-40bc63294c909aa8;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/custom.css	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/css/custom.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:01	11528/11528	---MCZ	200	added ('OK')	text/css	etag:W/%2236ba-64a7a518-c931b0d9004d95f9;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/modalbox.css	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/css/modalbox.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:02	58896/58896	---M-Z	200	added ('OK')	text/css	etag:%22e610-64a7a518-4a99a8315d2d7e44;gz%22	https://marketifythemes.net/tailwind/elisc/assets/css/main.css	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/css/main.css	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:02	2306/2306	---M--	200	added ('OK')	image/png	etag:%22902-64a7a532-e8b683cabdbb700a;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/logo/logo.png	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/logo/logo.png	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:03	12398/12398	---M--	200	added ('OK')	image/jpeg	etag:%22306e-64a7a531-46c29d953be724be;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/about/1.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/about/1.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:03	1184/1184	---M-Z	200	added ('OK')	image/svg+xml	etag:%224a0-64a7a548-115ce040fbd51800;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/facebook.svg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/svg/social/facebook.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:04	1404/1404	---M-Z	200	added ('OK')	image/svg+xml	etag:%2257c-64a7a548-c5722a158477acf4;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/twitter.svg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/svg/social/twitter.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:05	1175/1175	---M-Z	200	added ('OK')	image/svg+xml	etag:%22497-64a7a548-ed17f78c83697807;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/instagram.svg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/svg/social/instagram.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:05	2219/2219	---M-Z	200	added ('OK')	image/svg+xml	etag:%228ab-64a7a548-f216348363ec08d1;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/dribbble.svg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/svg/social/dribbble.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:06	922/922	---M-Z	200	added ('OK')	image/svg+xml	etag:%2239a-64a7a548-12ea01928464abfe;gz%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/social/tik-tok.svg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/svg/social/tik-tok.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:06	1127/1127	---M--	200	added ('OK')	image/jpeg	etag:%22467-64a7a534-c549fd271b2dabce;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/thumbs/1-1.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/thumbs/1-1.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:08	118643/118643	---M--	200	added ('OK')	image/jpeg	etag:%221cf73-64a7a531-6802bfef815f303b;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/experience/1.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/experience/1.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:08	238901/238901	---M--	200	added ('OK')	image/png	etag:%223a535-64a7a531-6c099a3c1713bb79;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/about/2.png	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/about/2.png	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:08	68330/68330	---M--	200	added ('OK')	image/jpeg	etag:%2210aea-64a7a531-ecbf8ec3be6be1a9;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/experience/2.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/experience/2.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:09	27449/27449	---M--	200	added ('OK')	image/jpeg	etag:%226b39-64a7a531-88c37babd600ad99;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/experience/3.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/experience/3.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:10	42546/42546	---M--	200	added ('OK')	image/jpeg	etag:%22a632-64a7a531-5c6883bc5a708159;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/experience/4.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/experience/4.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:11	76885/76885	---M--	200	added ('OK')	image/jpeg	etag:%2212c55-64a7a533-ed16a506eb2d9919;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/service/2.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/service/2.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:11	194/194	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c2-64a7a533-4aaddc127b906619;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/svg/rightArrow.svg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/svg/rightArrow.svg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:11	46438/46438	---M--	200	added ('OK')	image/jpeg	etag:%22b566-64a7a533-9918ead8fa7a331a;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/service/3.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/service/3.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:12	127938/127938	---M--	200	added ('OK')	image/jpeg	etag:%221f3c2-64a7a533-eaf318092c21dd01;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/service/4.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/service/4.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
14:15:13	112821/112821	---M--	200	added ('OK')	image/jpeg	etag:%221b8b5-64a7a533-f356bfefb172f9b2;;;%22	https://marketifythemes.net/tailwind/elisc/assets/img/service/5.jpg	C:/Users/pk/Downloads/Portfolio/marketifythemes.net/tailwind/elisc/assets/img/service/5.jpg	(from https://marketifythemes.net/tailwind/elisc/index.html)
